"row ID","post_bugs","Ce","LCOMCK","LCOMHS","LCOMPFI","LCOMTC","NOF","WMC","line_coverage","instructions_coverage","branche_coverage","complexity_coverage","method_coverage","mutants_score","has_bugs"
"org:apache:commons:math:ode:sampling:AbstractStepInterpolator",1,10,0,58,50,581,10,32,0.9827586206896551,0.9619952494061758,0.7307692307692307,0.7741935483870968,1.0,1.0,"yes"
"org:apache:commons:math:optimization:MultiStartDifferentiableMultivariateRealOptimizer",1,14,18,89,61,356,9,18,0.8478260869565217,0.8232323232323232,0.75,0.8125,0.9166666666666666,0.78,"yes"
"org:apache:commons:math:optimization:MultiStartDifferentiableMultivariateVectorialOptimizer",1,15,18,89,61,356,9,18,0.9130434782608695,0.935,1.0,0.875,0.8333333333333334,0.74,"yes"
"org:apache:commons:math:optimization:MultiStartMultivariateRealOptimizer",1,14,12,88,60,335,8,17,0.7619047619047619,0.7458563535911602,0.625,0.5333333333333333,0.5454545454545454,0.8,"yes"
"org:apache:commons:math:optimization:MultiStartUnivariateRealOptimizer",1,12,18,89,65,267,9,34,0.7555555555555555,0.7733333333333333,0.8235294117647058,0.6756756756756757,0.7,0.62,"yes"
"org:apache:commons:math:optimization:SimpleRealPointChecker",1,6,0,0,0,0,2,5,0.75,0.8656716417910447,1.0,0.8333333333333334,0.6666666666666666,0.36,"yes"
"org:apache:commons:math:optimization:SimpleScalarValueChecker",1,6,0,0,0,0,2,3,1.0,1.0,1.0,1.0,1.0,0.92,"yes"
"org:apache:commons:math:optimization:SimpleVectorialPointChecker",1,6,0,0,0,0,2,5,0.7222222222222222,0.835820895522388,0.6666666666666666,0.5,0.6666666666666666,0.35,"yes"
"org:apache:commons:math:optimization:SimpleVectorialValueChecker",1,6,0,0,0,0,2,5,1.0,1.0,1.0,1.0,1.0,0.76,"yes"
"org:apache:commons:math:optimization:direct:DirectSearchOptimizer",1,18,38,86,88,220,8,43,0.93,0.8514285714285714,0.86,0.7857142857142857,0.8823529411764706,1.0,"yes"
